asset,path_or_identifier,sha256,size_bytes,note
HRNet pretrained checkpoint,third_party/CADTransformer/pretrained_models/hrnetv2_w48_imagenet_pretrained.pth,0efec102d97f2ef58f0e258b2c3076b3704b93ffc2b73f64c8da5462c0037ef8,310643500,local HRNet-W48 ImageNet pretrained checkpoint; large file not committed
Smoke train log,CADTransformer/logs/cadtransformer_smoke/2026-08-18-19-09_train.log,99a5f8a2bac787ec59336fc0562c27176b6e3f758e31de7126a0aa82f126ce57,6172,completed smoke report log
Smoke best checkpoint,CADTransformer/logs/cadtransformer_smoke/best_model.pth,86c534ef8d1bdec0efb37fecda5b3304dcd82ebf8a9ccdc16a5d062cae233302,1085562061,completed smoke best checkpoint; large file not committed
Smoke last checkpoint,CADTransformer/logs/cadtransformer_smoke/last_model.pth,72526d719d3ab0b6e4ffa8ff1f920db09fd6c1ce863ef3530b2a136d89778390,1085561803,completed smoke last checkpoint; large file not committed
Formal train log,CADTransformer/logs/cadtransformer_train_e10_img384_rgb0_20260818_192739/2026-08-18-19-27_train.log,fe88160d0a83a5f0aa9b517d39901ce186f2682d9577e9376a05753267c917a4,64635,completed formal train log
Formal best checkpoint,CADTransformer/logs/cadtransformer_train_e10_img384_rgb0_20260818_192739/best_model.pth,642da46678d5f8d76cdeb958df4e6c77d5d9e3462a640467d9d83c6283a35530,1085562061,completed formal best checkpoint; large file not committed
Formal last checkpoint,CADTransformer/logs/cadtransformer_train_e10_img384_rgb0_20260818_192739/last_model.pth,d29a4da0e541f1faf827fcdd41a612ba7ef1c0fa6ddbb69a1d7d9196db9df5db,1085562061,completed formal last checkpoint; large file not committed
